threshold,accuracy,precision,recall,f1
0.0,0.6477420205750462,0.6015623583342098,0.8750883671854393,0.7129921962143796
0.05,0.6803402796096016,0.643628754742667,0.8081403323661303,0.716563481612634
0.1,0.6998100764969665,0.6904996630015995,0.7242469005539436,0.7069707799899063
0.15000000000000002,0.7054154576628858,0.7413065438747621,0.6310472170931153,0.6817475855426081
0.2,0.6942521762068056,0.7902611684390594,0.5288683724610921,0.633666558155264
0.25,0.6695832234238988,0.8351282879989992,0.4225956212081245,0.5612067244199854
0.30000000000000004,0.6371775257188077,0.871276808407345,0.3219150619889211,0.4701291296844181
0.35000000000000003,0.6035531522025851,0.902231603106621,0.23227644420997098,0.36944144930333245
0.4,0.5715035610656819,0.9252078431372549,0.15558427855447113,0.2663746189454669
0.45,0.5466024795568452,0.9455288243304585,0.09890266420469533,0.1790741103368565
0.5,0.5281719862833025,0.9582117727818774,0.05891321551041941,0.1110017693485219
0.55,0.5164996043260354,0.9722180280839499,0.03396992877868636,0.06564613886722434
0.6000000000000001,0.5085122658929042,0.9814980602805132,0.017351622263255078,0.03410039346607845
0.65,0.5039646531258243,0.9876703439325114,0.008029543656027434,0.015929583287543632
0.7000000000000001,0.5012978106040622,0.9900398406374502,0.0026219994724347136,0.005230147538568391
0.75,0.5004035874439462,0.9935483870967742,0.0008124505407544184,0.0016235734429772544
0.8,0.5001187021893959,0.9787234042553191,0.00024268003165391717,0.0004852397453546206
0.8500000000000001,0.5000369295700343,0.9375,7.913479293062516e-05,0.00015825622738254748
0.9,0.5000026378264311,1.0,5.275652862041678e-06,1.055125005935078e-05
0.9500000000000001,0.5,0.0,0.0,0.0
1.0,0.5,0.0,0.0,0.0
