relation,accuracy,precision,recall,f1,auc
fs,0.712,0.6577380952380952,0.884,0.7542662116040956,0.779504
fd,0.628,0.5860215053763441,0.872,0.7009646302250804,0.703456
ms,0.666,0.6317460317460317,0.796,0.7044247787610619,0.74696
md,0.692,0.6463414634146342,0.848,0.7335640138408305,0.7802079999999999
