relation,accuracy,precision,recall,f1,auc
fs,0.6762820512820513,0.6368159203980099,0.8205128205128205,0.7170868347338936,0.775887573964497
fd,0.6119402985074627,0.5735294117647058,0.8731343283582089,0.6923076923076923,0.6813878369347294
ms,0.6594827586206896,0.6121212121212121,0.8706896551724138,0.7188612099644128,0.7271848989298454
md,0.7007874015748031,0.6424581005586593,0.905511811023622,0.7516339869281046,0.7681195362390725
