relation,accuracy_mean,precision_mean,recall_mean,f1_mean,auc_mean,accuracy_std,precision_std,recall_std,f1_std,auc_std
fs,0.5255040322580645,0.6295238095238095,0.11512096774193548,0.19015477110168644,0.5392797622918835,0.02157258064516128,0.15799623980140545,0.05546517173645478,0.08105682969692903,0.03552181906736757
fd,0.5037037037037038,0.569047619047619,0.11937321937321936,0.19574901221485663,0.5204466684523664,0.05023948135648348,0.2535909896322732,0.027539705922722667,0.0512596759379644,0.05622164793030383
ms,0.5172101449275363,0.5373626373626375,0.18115942028985504,0.2634647550776583,0.5039270898970805,0.02881516978367184,0.06578738262459678,0.08886788241597618,0.10011868731922806,0.027823395245348548
md,0.48177777777777775,0.5345238095238095,0.19762962962962966,0.2767906469756764,0.500638463648834,0.0875047794109161,0.23493135968655257,0.0584132198427766,0.08362970577143959,0.09198930165388446
