threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
-1.0,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.95,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.8999999999999999,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.8499999999999999,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.7999999999999998,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.7499999999999998,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.6999999999999997,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.6499999999999997,0.5000026378264311,0.5000013189166946,1.0,0.6666678390360311,189550,1,189549,0
-0.5999999999999996,0.5000316539171723,0.5000158274595872,1.0,0.6666807353711851,189550,12,189538,0
-0.5499999999999996,0.5003165391717225,0.500158319700248,1.0,0.6668073804372681,189550,120,189430,0
-0.49999999999999956,0.5016143497757848,0.5008084800574919,1.0,0.667384928473095,189550,612,188938,0
-0.4499999999999995,0.5047480875758376,0.5023853697323085,1.0,0.668783628825968,189550,1800,187750,0
-0.39999999999999947,0.5101925613294646,0.5051487597138867,1.0,0.6712276862386816,189550,3864,185686,0
-0.3499999999999994,0.5179161171194936,0.5091214800648926,1.0,0.6747256424221066,189550,6792,182758,0
-0.2999999999999994,0.527979424953838,0.5143924036548863,1.0,0.6793383305587561,189550,10607,178943,0
-0.24999999999999933,0.5403429174360327,0.5210196755377925,0.9999894486942759,0.6850901415373938,189548,15296,174254,2
-0.1999999999999993,0.5540147718280137,0.5285517087522135,0.9999261408599314,0.6915542420344982,189536,20491,169059,14
-0.14999999999999925,0.5686810867844896,0.5368772006356526,0.9998944869427592,0.6986341008491023,189530,26057,163493,20
-0.0999999999999992,0.5838644157214455,0.5457802352873414,0.9998100764969665,0.7061076594912302,189514,31829,157721,36
-0.049999999999999156,0.5995726721181747,0.5553110182455441,0.9996887364811395,0.7140041900283354,189491,37807,151743,59
8.881784197001252e-16,0.6159878659984173,0.5656383509131241,0.9995251912424162,0.7224417968385068,189460,44061,145489,90
0.05000000000000093,0.6331337378000528,0.5768529149320413,0.9992930625164864,0.7314615831677643,189416,50605,138945,134
0.10000000000000098,0.6509285149037194,0.5889814034356523,0.9990187285676603,0.7410622215351983,189364,57403,132147,186
0.15000000000000102,0.6691611711949353,0.6019684851568587,0.9986388815615932,0.7511512782611285,189292,64387,125163,258
0.20000000000000107,0.6874307570561857,0.6156317230111279,0.9978950145080454,0.7614820540381686,189151,71454,118096,399
0.2500000000000011,0.7061197573199683,0.6303245605257013,0.9969137430757056,0.7723259901091265,188965,78725,110825,585
0.30000000000000115,0.7255420733315748,0.6464578986855223,0.9955315220258507,0.7838896008540812,188703,86350,103200,847
0.3500000000000012,0.7446241097335795,0.6632768401370486,0.9937325243998945,0.7955534625594198,188362,93925,95625,1188
0.40000000000000124,0.764062252703772,0.6815356158421587,0.9913637562648377,0.8077589356717605,187913,101743,87807,1637
0.4500000000000013,0.7831522025850699,0.7008821801114609,0.9879240305987866,0.8200092396147387,187261,109632,79918,2289
0.5000000000000013,0.8020073859140069,0.7218688835920393,0.9826061725138486,0.8322947504831701,186253,117788,71762,3297
0.5500000000000014,0.8197230282247429,0.7438291845873449,0.9753521498285412,0.8440010134695581,184878,125879,63671,4672
0.6000000000000014,0.8365892904246901,0.7677239862865967,0.9652017937219731,0.8552109700203572,182954,134197,55353,6596
0.6500000000000015,0.8516090741229227,0.7931119408564555,0.95139541018201,0.8650729500706356,180337,142508,47042,9213
0.7000000000000015,0.8612767079926141,0.8190280081247787,0.9274914270640991,0.8698917867798773,175806,150704,38846,13744
0.7500000000000016,0.8633948826167238,0.8458757425270272,0.8887206541809549,0.8667690589939311,168457,158856,30694,21093
0.8000000000000016,0.8584463202321287,0.8748296692687502,0.836591928251121,0.8552836319997842,158576,166861,22689,30974
0.8500000000000016,0.8416064362964917,0.9033632552373715,0.7650540754418359,0.828475858306268,145016,174037,15513,44534
0.9000000000000017,0.8156581376945397,0.9352377211359404,0.6782854128198365,0.7863018390200047,128569,180647,8903,60981
0.9500000000000017,0.7673173305196518,0.9693926705450773,0.5520654180954894,0.7034938050003698,104644,186246,3304,84906
1.0000000000000018,0.5,0.0,0.0,0.0,0,189550,0,189550
