relation,accuracy_mean,precision_mean,recall_mean,f1_mean,auc_mean,accuracy_std,precision_std,recall_std,f1_std,auc_std
fs,0.48599999999999993,0.4215695415695415,0.08800000000000001,0.142679184843308,0.52144,0.014966629547095779,0.07139641258878461,0.03709447398198281,0.05656879826186433,0.028974581964197527
fd,0.504,0.5122655122655122,0.12,0.1935462396962119,0.5368,0.01019803902718558,0.043594408623618526,0.0282842712474619,0.039782914839316195,0.03259742321104537
ms,0.518,0.6452361673414305,0.12400000000000003,0.20181692703431833,0.56688,0.029257477676655614,0.1483388237644317,0.036660605559646724,0.04935356394915433,0.05412956308709685
md,0.524,0.611111111111111,0.128,0.21012603215993048,0.57712,0.01743559577416271,0.07027283689263063,0.03709447398198282,0.051283156169271434,0.04147164814665556
