Family,Member,Total_Images,Avg_Similarity,Status
F0508,MID2,7,0.5817222595214844,processed
F0508,MID3,8,0.5837709903717041,processed
F0089,MID3,8,0.5078800320625305,processed
F0089,MID2,6,0.680306613445282,processed
F0089,MID1,9,0.5559276342391968,processed
F0425,MID8,3,0.4213591516017914,processed
F0425,MID6,7,0.3509677052497864,processed
F0425,MID9,2,0.598232626914978,processed
F0425,MID2,15,0.5137332677841187,processed
F0425,MID3,24,0.36522772908210754,processed
F0425,MID4,6,0.4648733139038086,processed
F0425,MID5,5,0.5345690250396729,processed
F0425,MID10,3,0.4219999313354492,processed
F0425,MID7,3,0.3613104820251465,processed
F0425,MID1,29,0.4875260591506958,processed
F0314,MID5,3,0.7294902205467224,processed
F0314,MID3,2,0.8032664060592651,processed
F0314,MID2,9,0.6782963871955872,processed
F0314,MID4,4,0.718316912651062,processed
F0314,MID1,9,0.6673983335494995,processed
F0042,MID2,6,0.6583402752876282,processed
F0042,MID1,8,0.7348580360412598,processed
F0046,MID4,5,0.66477370262146,processed
F0046,MID1,10,0.667910635471344,processed
F0046,MID5,5,0.6876572370529175,processed
F0046,MID2,9,0.6918445825576782,processed
F0046,MID3,5,0.6792752146720886,processed
F0482,MID1,6,0.6315054297447205,processed
F0482,MID2,4,0.656112551689148,processed
F0080,MID1,6,0.38554108142852783,processed
F0080,MID4,4,0.37356036901474,processed
F0080,MID8,2,0.7334707379341125,processed
F0080,MID2,2,0.5218450427055359,processed
F0080,MID5,5,0.4197285771369934,processed
F0080,MID3,3,0.7534392476081848,processed
F0251,MID5,2,0.8135048151016235,processed
F0251,MID1,8,0.700605034828186,processed
F0251,MID3,3,0.8151218295097351,processed
F0251,MID8,4,0.7216805219650269,processed
F0251,MID9,2,0.8554666042327881,processed
F0445,MID1,10,0.6145665645599365,processed
F0445,MID3,6,0.622120201587677,processed
F0445,MID2,8,0.6094670295715332,processed
F0445,MID4,9,0.5167233943939209,processed
F0208,MID4,2,0.6807330250740051,processed
F0208,MID1,10,0.7115105390548706,processed
F0208,MID3,2,0.6924327611923218,processed
F0208,MID2,10,0.740419328212738,processed
F0974,MID5,4,0.6951841115951538,processed
F0974,MID6,2,0.7978501915931702,processed
F0974,MID3,8,0.6137030124664307,processed
F0974,MID1,9,0.5992674827575684,processed
F0974,MID2,7,0.6772926449775696,processed
F0268,MID1,8,0.6915817856788635,processed
F0268,MID2,7,0.5883964896202087,processed
F0691,MID1,3,0.4901304244995117,processed
F0691,MID2,3,0.4515780508518219,processed
F0818,MID6,2,0.5696902275085449,processed
F0818,MID2,2,0.7346848845481873,processed
F0818,MID1,4,0.6599810123443604,processed
F0101,MID6,3,0.710176408290863,processed
F0101,MID8,2,0.835051953792572,processed
F0101,MID2,8,0.7722543478012085,processed
F0101,MID3,10,0.7849642038345337,processed
F0101,MID4,6,0.6827757358551025,processed
F0101,MID1,5,0.6970967054367065,processed
F0101,MID5,2,0.9057084918022156,processed
F0598,MID3,10,0.4900583326816559,processed
F0598,MID4,5,0.5015689134597778,processed
