threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
-1.0,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.95,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.8999999999999999,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.8499999999999999,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.7999999999999998,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.7499999999999998,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.6999999999999997,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.6499999999999997,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.5999999999999996,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.5499999999999996,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.49999999999999956,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.4499999999999995,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.39999999999999947,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.3499999999999994,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.2999999999999994,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.24999999999999933,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.1999999999999993,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.14999999999999925,0.5,0.5,1.0,0.6666666666666666,11,0,11,0
-0.0999999999999992,0.5909090909090909,0.55,1.0,0.7096774193548387,11,2,9,0
-0.049999999999999156,0.6818181818181818,0.6111111111111112,1.0,0.7586206896551725,11,4,7,0
8.881784197001252e-16,0.6818181818181818,0.6111111111111112,1.0,0.7586206896551725,11,4,7,0
0.05000000000000093,0.6818181818181818,0.625,0.9090909090909091,0.7407407407407406,10,5,6,1
0.10000000000000098,0.6818181818181818,0.6666666666666666,0.7272727272727273,0.6956521739130435,8,7,4,3
0.15000000000000102,0.7727272727272727,0.875,0.6363636363636364,0.7368421052631579,7,10,1,4
0.20000000000000107,0.7272727272727273,0.8571428571428571,0.5454545454545454,0.6666666666666665,6,10,1,5
0.2500000000000011,0.6363636363636364,0.8,0.36363636363636365,0.5000000000000001,4,10,1,7
0.30000000000000115,0.5909090909090909,0.75,0.2727272727272727,0.39999999999999997,3,10,1,8
0.3500000000000012,0.5909090909090909,0.75,0.2727272727272727,0.39999999999999997,3,10,1,8
0.40000000000000124,0.5909090909090909,1.0,0.18181818181818182,0.3076923076923077,2,11,0,9
0.4500000000000013,0.5,0.0,0.0,0.0,0,11,0,11
0.5000000000000013,0.5,0.0,0.0,0.0,0,11,0,11
0.5500000000000014,0.5,0.0,0.0,0.0,0,11,0,11
0.6000000000000014,0.5,0.0,0.0,0.0,0,11,0,11
0.6500000000000015,0.5,0.0,0.0,0.0,0,11,0,11
0.7000000000000015,0.5,0.0,0.0,0.0,0,11,0,11
0.7500000000000016,0.5,0.0,0.0,0.0,0,11,0,11
0.8000000000000016,0.5,0.0,0.0,0.0,0,11,0,11
0.8500000000000016,0.5,0.0,0.0,0.0,0,11,0,11
0.9000000000000017,0.5,0.0,0.0,0.0,0,11,0,11
0.9500000000000017,0.5,0.0,0.0,0.0,0,11,0,11
1.0000000000000018,0.5,0.0,0.0,0.0,0,11,0,11
