threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
-1.0,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.95,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.8999999999999999,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.8499999999999999,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.7999999999999998,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.7499999999999998,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.6999999999999997,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.6499999999999997,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.5999999999999996,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.5499999999999996,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.49999999999999956,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.4499999999999995,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.39999999999999947,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.3499999999999994,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.2999999999999994,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.24999999999999933,0.5,0.5,1.0,0.6666666666666666,181195,0,181195,0
-0.1999999999999993,0.5000524297028064,0.5000262162259121,1.0,0.6666899695713124,181195,19,181176,0
-0.14999999999999925,0.5012859074477772,0.500643852726288,0.9998896216783024,0.6672141622121276,181175,486,180709,20
-0.0999999999999992,0.5139076685338999,0.5070668603509874,0.997913849719915,0.6724458849102529,180817,5418,175777,378
-0.049999999999999156,0.5721156764811391,0.5394985823191928,0.9850051049973785,0.6971565397242668,178478,28851,152344,2717
8.881784197001252e-16,0.6917961312398245,0.6293178832836566,0.9333646071911477,0.7517624885538259,169121,81579,99616,12074
0.05000000000000093,0.7826512872871768,0.7739150897985816,0.7985981953144402,0.7860629221906242,144702,138923,42272,36493
0.10000000000000098,0.763313005325754,0.9064592526963248,0.5872237092635006,0.7127273701591215,106402,170215,10980,74793
0.15000000000000102,0.6824498468500786,0.9725549615483576,0.37549601258312865,0.5418051944432277,68038,179275,1920,113157
0.20000000000000107,0.6052153757002124,0.9921013912908805,0.21211953972239853,0.3495107667685145,38435,180889,306,142760
0.2500000000000011,0.5518529760754988,0.9966696622085954,0.10405364386434504,0.18843447669305188,18854,181132,63,162341
0.30000000000000115,0.5219376914374017,0.9981203007518797,0.0439581666160766,0.08420774415223999,7965,181180,15,173230
0.3500000000000012,0.5090013521344408,0.9975594874923734,0.01804685559756064,0.0354523426192451,3270,181187,8,177925
0.40000000000000124,0.5041336681475758,0.996684350132626,0.008294930875576038,0.016452931807359485,1503,181190,5,179692
0.4500000000000013,0.5026159662242335,0.99581589958159,0.005254008112806644,0.0104528660287344,952,181191,4,180243
0.5000000000000013,0.5016694721156765,0.9934747145187602,0.003361019895692486,0.006699375165009241,609,181191,4,180586
0.5500000000000014,0.501020999475703,0.9920212765957447,0.0020585556996605865,0.004108585622153316,373,181192,3,180822
0.6000000000000014,0.5006291564336764,0.9913793103448276,0.0012693506995226137,0.0025354550315002727,230,181193,2,180965
0.6500000000000015,0.5002980214685836,0.9821428571428571,0.0006070807693369022,0.001213411506450385,110,181193,2,181085
0.7000000000000015,0.5001296945279947,0.9795918367346939,0.0002649079720742846,0.0005296727064068328,48,181194,1,181147
0.7500000000000016,0.5000745053671459,0.9655172413793104,0.00015452965037666603,0.00030900984417075,28,181194,1,181167
0.8000000000000016,0.5000220756643395,1.0,4.415132867904744e-05,8.829875885057091e-05,8,181195,0,181187
0.8500000000000016,0.5,0.0,0.0,0.0,0,181195,0,181195
0.9000000000000017,0.5,0.0,0.0,0.0,0,181195,0,181195
0.9500000000000017,0.5,0.0,0.0,0.0,0,181195,0,181195
1.0000000000000018,0.5,0.0,0.0,0.0,0,181195,0,181195
