threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
-1.0,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.95,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.8999999999999999,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.8499999999999999,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.7999999999999998,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.7499999999999998,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.6999999999999997,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.6499999999999997,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.5999999999999996,0.5,0.5,1.0,0.6666666666666666,189550,0,189550,0
-0.5499999999999996,0.500005275652862,0.5000026378403474,1.0,0.6666690114095187,189550,2,189548,0
-0.49999999999999956,0.5000369295700343,0.500018465466939,1.0,0.6666830802130009,189550,14,189536,0
-0.4499999999999995,0.5001635452387233,0.5000817894475782,0.9999577947771037,0.6667299831859466,189542,70,189480,8
-0.39999999999999947,0.5007122131363756,0.5003564092951545,0.9998628330255869,0.6669528863613969,189524,296,189254,26
-0.3499999999999994,0.5025613294645213,0.5012843337733488,0.9997045634397257,0.6677414296461915,189494,1027,188523,56
-0.2999999999999994,0.5069480348193088,0.503502547791028,0.9988024268003165,0.6695039624302905,189323,2861,186689,227
-0.24999999999999933,0.516953310472171,0.5086494852297961,0.996971775257188,0.6736211736398878,188976,7001,182549,574
-0.1999999999999993,0.5350593510946979,0.5183163964202339,0.9921076233183856,0.6809023710685105,188054,14787,174763,1496
-0.14999999999999925,0.5641281983645476,0.5349735155928566,0.9809390662094434,0.6923571017644332,185937,27924,161626,3613
-0.0999999999999992,0.6022025850699024,0.5596409077055221,0.9590187285676602,0.7068155351508352,181782,46513,143037,7768
-0.049999999999999156,0.6451806911105249,0.5932436553383255,0.9236824056977051,0.722472559214327,175084,69504,120046,14466
8.881784197001252e-16,0.6876180427327881,0.6370886915224967,0.8719124241624902,0.7362294694921219,165271,95405,94145,24279
0.05000000000000093,0.7196755473489844,0.6881509563551415,0.8034502769717753,0.7413443541458263,152294,120535,69015,37256
0.10000000000000098,0.7337166974413084,0.7424396650796257,0.7157267211817463,0.7288385086494036,135666,142486,47064,53884
0.15000000000000102,0.7282194671590609,0.7958568145756962,0.6139118965972039,0.6931434391808581,116367,159701,29849,73183
0.20000000000000107,0.7099762595621208,0.8476312755476365,0.5119862833025587,0.6383789081771598,97047,172105,17445,92503
0.2500000000000011,0.6804721709311528,0.8916121942005426,0.4108942231601161,0.5625435621860363,77885,180082,9468,111665
0.30000000000000115,0.6409232392508573,0.9229794780846212,0.3075072540226853,0.4613180742534685,58288,184686,4864,131262
0.3500000000000012,0.6037351622263255,0.9485991969337471,0.21935637035083091,0.3563171110025623,41579,187297,2253,147971
0.40000000000000124,0.5708018992350303,0.9637513390234631,0.1471379583223424,0.2552988937658188,27890,188501,1049,161660
0.4500000000000013,0.5452967554734899,0.9749419183538002,0.09298338169348457,0.16977478952742403,17625,189097,453,171925
0.5000000000000013,0.5268477974149302,0.9834695040851226,0.054613558427855445,0.10348067734260981,10352,189376,174,179198
0.5500000000000014,0.5149089949881298,0.9884203249222261,0.030171458718016353,0.05855551460048326,5719,189483,67,183831
0.6000000000000014,0.5077499340543392,0.9916331994645248,0.01563175943022949,0.030778339860183444,2963,189525,25,186587
0.6500000000000015,0.5033183856502242,0.9929467084639498,0.006684252176206806,0.013279112909142361,1267,189541,9,188283
0.7000000000000015,0.5012450540754418,0.9937238493723849,0.002505935109469797,0.004999263266465994,475,189547,3,189075
0.7500000000000016,0.5004326035346874,0.9939759036144579,0.0008704827222368769,0.0017394421134748785,165,189549,1,189385
0.8000000000000016,0.5002163017673437,0.9880952380952381,0.00043787918754945927,0.0008753704504466499,83,189549,1,189467
0.8500000000000016,0.5000342917436033,0.9333333333333333,7.38591400685835e-05,0.0001477065914066415,14,189549,1,189536
0.9000000000000017,0.499997362173569,0.0,0.0,0.0,0,189549,1,189550
0.9500000000000017,0.5,0.0,0.0,0.0,0,189550,0,189550
1.0000000000000018,0.5,0.0,0.0,0.0,0,189550,0,189550
