dataset,relation,accuracy,precision,recall,f1,auc
KinFaceW-I,fs,0.5,0.5,1.0,0.6666666666666666,0.7323307034845496
KinFaceW-I,fd,0.5,0.5,1.0,0.6666666666666666,0.6136110492314547
KinFaceW-I,ms,0.4956896551724138,0.49783549783549785,0.9913793103448276,0.6628242074927954,0.6200951248513675
KinFaceW-I,md,0.5,0.5,0.9763779527559056,0.6613333333333333,0.649761299522599
KinFaceW-II,fs,0.498,0.49899799599198397,0.996,0.664886515353805,0.729248
KinFaceW-II,fd,0.502,0.5010141987829615,0.988,0.6648721399730821,0.654048
KinFaceW-II,ms,0.5,0.5,1.0,0.6666666666666666,0.6892480000000001
KinFaceW-II,md,0.5,0.5,0.992,0.6648793565683646,0.726576
