dataset,relation,accuracy,precision,recall,f1,auc
KinFaceW-I,fs,0.6346153846153846,0.5897435897435898,0.8846153846153846,0.7076923076923077,0.7486850756081525
KinFaceW-I,fd,0.6082089552238806,0.5743589743589743,0.835820895522388,0.6808510638297872,0.6459122298952996
KinFaceW-I,ms,0.5560344827586207,0.5333333333333333,0.896551724137931,0.6688102893890675,0.6368906064209275
KinFaceW-I,md,0.5708661417322834,0.5473684210526316,0.8188976377952756,0.6561514195583596,0.6718953437906875
KinFaceW-II,fs,0.66,0.6086956521739131,0.896,0.7249190938511327,0.75136
KinFaceW-II,fd,0.592,0.5621621621621622,0.832,0.6709677419354839,0.645632
KinFaceW-II,ms,0.61,0.5741239892183289,0.852,0.6859903381642513,0.7312319999999999
KinFaceW-II,md,0.628,0.5824742268041238,0.904,0.7084639498432602,0.764656
